,Cs
209,3051.0
210,2862.0
211,2811.0
212,2698.0
258,2902.0
259,2643.0
264,3480.0
265,3227.0
266,2987.0
267,2648.0
281,4474.0
282,3231.0
283,2934.0
284,2693.0
462,3040.0
468,2683.0
