Ti,V,Fe,Co,Ni,Zr,Mo,Sn,W,CM_type,CM_morph,MS2_morph,CP_morph,SSA,C,Cation,Anion,P_low,P_high,CD,Cs,Cs_zscore
False,False,True,False,False,False,True,False,False,derived carbon-based,3D special,flower-like clusters,coated,94.7,6.0,K,OH,0.0,0.4,6.0,1012.0,0.5619793689912586
False,False,True,False,False,False,True,False,False,derived carbon-based,3D special,flower-like clusters,coated,94.7,6.0,K,OH,0.0,0.4,8.0,904.0,0.39548098236259843
False,False,True,False,False,False,True,False,False,derived carbon-based,3D special,flower-like clusters,coated,94.7,6.0,K,OH,0.0,0.4,10.0,719.0,0.1102754126746159
False,False,True,False,False,False,False,False,False,G-based,2D,irregular nanoparticles,supported,218.4,6.0,K,OH,-0.6,0.0,1.0,529.0,-0.18263841565358238
False,False,True,False,False,False,False,False,False,G-based,2D,irregular nanoparticles,supported,218.4,6.0,K,OH,-0.6,0.0,2.0,481.0,-0.2566376985996535
False,False,True,False,False,False,False,False,False,G-based,2D,irregular nanoparticles,supported,218.4,6.0,K,OH,-0.6,0.0,5.0,443.0,-0.3152204642652932
False,False,True,False,False,False,False,False,False,G-based,2D,irregular nanoparticles,supported,218.4,6.0,K,OH,-0.6,0.0,10.0,401.0,-0.3799698368431054
False,False,True,False,False,False,False,False,False,G-based,2D,irregular nanoparticles,supported,218.4,6.0,K,OH,-0.6,0.0,20.0,349.0,-0.46013572670134917
False,False,True,False,False,False,False,False,False,NoCP,NoCP,irregular nanoparticles,NoCP,39.8,1.0,Na,SO3,-1.0,0.0,0.5,763.0,0.17810808870851444
False,False,True,False,False,False,False,False,False,NoCP,NoCP,irregular nanoparticles,NoCP,39.8,1.0,Na,SO3,-1.0,0.0,1.0,720.0,0.11181706440265904
False,False,True,False,False,False,False,False,False,NoCP,NoCP,irregular nanoparticles,NoCP,39.8,1.0,Na,SO3,-1.0,0.0,2.0,590.0,-0.08859766024295031
False,False,True,False,False,False,False,False,False,NoCP,NoCP,irregular nanoparticles,NoCP,39.8,1.0,Na,SO3,-1.0,0.0,3.0,429.0,-0.33680358845789726
False,False,True,False,False,False,False,False,False,NoCP,NoCP,irregular nanoparticles,NoCP,39.8,1.0,Na,SO3,-1.0,0.0,4.0,240.0,-0.6281757650580524
False,False,True,False,False,False,False,False,False,NoCP,NoCP,irregular nanoparticles,NoCP,39.8,1.0,Na,SO3,-1.0,0.0,5.0,105.0,-0.8362987483438775
False,False,False,False,False,False,True,False,False,NoCP,NoCP,flower-like clusters,NoCP,24.0,6.0,K,OH,0.0,1.0,1.0,216.0,-0.665175406531088
False,False,False,False,False,False,True,False,False,NoCP,NoCP,flower-like clusters,NoCP,24.0,6.0,K,OH,0.0,1.0,2.0,160.0,-0.7515079033015043
False,False,False,False,False,False,True,False,False,NoCP,NoCP,flower-like clusters,NoCP,24.0,6.0,K,OH,0.0,1.0,3.0,140.0,-0.7823409378623672
False,False,False,False,False,False,True,False,False,NoCP,NoCP,flower-like clusters,NoCP,24.0,6.0,K,OH,0.0,1.0,4.0,121.0,-0.8116323206951871
False,False,False,False,False,False,True,False,False,NoCP,NoCP,flower-like clusters,NoCP,24.0,6.0,K,OH,0.0,1.0,5.0,109.0,-0.8301321414317049
False,False,False,False,False,False,True,False,False,NoCP,NoCP,flower-like clusters,NoCP,24.0,6.0,K,OH,0.0,1.0,7.0,86.0,-0.8655901311766974
False,False,True,False,False,False,True,False,False,NoCP,NoCP,hollow morph,NoCP,43.0,6.0,K,OH,0.0,1.0,1.0,386.0,-0.4030946127637527
False,False,True,False,False,False,True,False,False,NoCP,NoCP,hollow morph,NoCP,43.0,6.0,K,OH,0.0,1.0,2.0,274.0,-0.5757596063045853
False,False,True,False,False,False,True,False,False,NoCP,NoCP,hollow morph,NoCP,43.0,6.0,K,OH,0.0,1.0,3.0,230.0,-0.6435922823384839
