Z,Period,Group,EN,CR,CM_type,CM_morph,MS2_morph,CP_morph,SSA,C,Cation,Anion,PW,CD,Cs
26,4,8,1.83,1.24,0,0,3,0,3.6,2.0,K,OH,1.1,3.0,459.0
26,4,8,1.83,1.24,0,0,3,0,3.6,2.0,K,OH,1.1,5.0,372.0
26,4,8,1.83,1.24,0,0,3,0,3.6,2.0,K,OH,1.1,10.0,309.0
26,4,8,1.83,1.24,0,0,3,0,3.6,2.0,K,OH,1.1,15.0,299.0
26,4,8,1.83,1.24,0,0,3,0,3.6,2.0,K,OH,1.1,20.0,289.0
26,4,8,1.83,1.24,0,0,3,0,3.6,2.0,K,OH,1.1,30.0,269.0
26,4,8,1.83,1.24,2,2,3,1,135.0,2.0,K,OH,1.1,3.0,721.0
26,4,8,1.83,1.24,2,2,3,1,135.0,2.0,K,OH,1.1,5.0,650.0
26,4,8,1.83,1.24,2,2,3,1,135.0,2.0,K,OH,1.1,10.0,621.0
26,4,8,1.83,1.24,2,2,3,1,135.0,2.0,K,OH,1.1,15.0,617.0
26,4,8,1.83,1.24,2,2,3,1,135.0,2.0,K,OH,1.1,20.0,614.0
26,4,8,1.83,1.24,2,2,3,1,135.0,2.0,K,OH,1.1,30.0,589.0
26,4,8,1.83,1.24,2,2,4,1,165.0,2.0,K,OH,1.1,3.0,769.0
26,4,8,1.83,1.24,2,2,4,1,165.0,2.0,K,OH,1.1,5.0,708.0
26,4,8,1.83,1.24,2,2,4,1,165.0,2.0,K,OH,1.1,10.0,637.0
26,4,8,1.83,1.24,2,2,4,1,165.0,2.0,K,OH,1.1,15.0,587.0
26,4,8,1.83,1.24,2,2,4,1,165.0,2.0,K,OH,1.1,20.0,570.0
26,4,8,1.83,1.24,2,2,4,1,165.0,2.0,K,OH,1.1,30.0,555.0
27,4,9,1.88,1.18,0,0,5,0,127.6,2.0,K,OH,0.5,1.0,1301.0
27,4,9,1.88,1.18,0,0,5,0,127.6,2.0,K,OH,0.5,2.5,1073.0
27,4,9,1.88,1.18,0,0,5,0,127.6,2.0,K,OH,0.5,5.0,883.0
27,4,9,1.88,1.18,0,0,5,0,127.6,2.0,K,OH,0.5,10.0,650.0
27,4,9,1.88,1.18,0,0,5,0,127.6,2.0,K,OH,0.5,20.0,450.0
27,4,9,1.88,1.18,0,0,5,0,98.3,2.0,K,OH,0.5,1.0,1180.0
27,4,9,1.88,1.18,0,0,5,0,98.3,2.0,K,OH,0.5,2.5,952.0
27,4,9,1.88,1.18,0,0,5,0,98.3,2.0,K,OH,0.5,5.0,733.0
27,4,9,1.88,1.18,0,0,5,0,98.3,2.0,K,OH,0.5,10.0,531.0
27,4,9,1.88,1.18,0,0,5,0,98.3,2.0,K,OH,0.5,20.0,339.0
27,4,9,1.88,1.18,0,0,5,0,65.1,2.0,K,OH,0.5,1.0,1079.0
27,4,9,1.88,1.18,0,0,5,0,65.1,2.0,K,OH,0.5,2.5,883.0
27,4,9,1.88,1.18,0,0,5,0,65.1,2.0,K,OH,0.5,5.0,681.0
27,4,9,1.88,1.18,0,0,5,0,65.1,2.0,K,OH,0.5,10.0,471.0
27,4,9,1.88,1.18,0,0,5,0,65.1,2.0,K,OH,0.5,20.0,271.0
27,4,9,1.88,1.18,0,0,4,0,41.5,2.0,K,OH,0.5,1.0,899.0
27,4,9,1.88,1.18,0,0,4,0,41.5,2.0,K,OH,0.5,2.5,733.0
27,4,9,1.88,1.18,0,0,4,0,41.5,2.0,K,OH,0.5,5.0,583.0
27,4,9,1.88,1.18,0,0,4,0,41.5,2.0,K,OH,0.5,10.0,388.0
27,4,9,1.88,1.18,0,0,4,0,41.5,2.0,K,OH,0.5,20.0,221.0
27,4,9,1.88,1.18,0,0,0,0,3.2,2.0,K,OH,0.5,1.0,624.0
27,4,9,1.88,1.18,0,0,0,0,3.2,2.0,K,OH,0.5,2.5,495.0
27,4,9,1.88,1.18,0,0,0,0,3.2,2.0,K,OH,0.5,5.0,345.0
27,4,9,1.88,1.18,0,0,0,0,3.2,2.0,K,OH,0.5,10.0,212.0
27,4,9,1.88,1.18,0,0,0,0,3.2,2.0,K,OH,0.5,20.0,93.0
27,4,9,1.88,1.18,0,0,4,0,17.5,2.0,K,OH,0.6,1.0,236.5
27,4,9,1.88,1.18,0,0,4,0,17.5,2.0,K,OH,0.6,2.0,225.3
27,4,9,1.88,1.18,0,0,4,0,17.5,2.0,K,OH,0.6,5.0,203.3
27,4,9,1.88,1.18,0,0,4,0,17.5,2.0,K,OH,0.6,10.0,175.0
27,4,9,1.88,1.18,0,0,4,0,17.5,2.0,K,OH,0.6,15.0,152.5
27,4,9,1.88,1.18,0,0,3,0,21.0,2.0,K,OH,0.4,2.0,624.1
27,4,9,1.88,1.18,2,2,3,3,93.0,2.0,K,OH,0.4,2.0,929.0
27,4,9,1.88,1.18,2,2,3,3,93.0,2.0,K,OH,0.4,4.0,855.0
27,4,9,1.88,1.18,2,2,3,3,93.0,2.0,K,OH,0.4,8.0,798.0
27,4,9,1.88,1.18,2,2,3,3,93.0,2.0,K,OH,0.4,14.0,713.0
27,4,9,1.88,1.18,2,2,3,3,93.0,2.0,K,OH,0.4,20.0,677.0
27,4,9,1.88,1.18,0,0,2,0,66.4,2.0,K,OH,0.6,1.0,718.7
27,4,9,1.88,1.18,0,0,2,0,66.4,2.0,K,OH,0.6,2.0,696.7
27,4,9,1.88,1.18,0,0,2,0,66.4,2.0,K,OH,0.6,5.0,620.8
27,4,9,1.88,1.18,0,0,2,0,66.4,2.0,K,OH,0.6,10.0,536.7
27,4,9,1.88,1.18,0,0,2,0,66.4,2.0,K,OH,0.6,20.0,476.7
27,4,9,1.88,1.18,0,0,2,0,46.2,2.0,K,OH,0.6,1.0,554.0
27,4,9,1.88,1.18,0,0,2,0,46.2,2.0,K,OH,0.6,2.0,540.0
27,4,9,1.88,1.18,0,0,2,0,46.2,2.0,K,OH,0.6,5.0,497.0
27,4,9,1.88,1.18,0,0,2,0,46.2,2.0,K,OH,0.6,10.0,469.0
27,4,9,1.88,1.18,0,0,2,0,46.2,2.0,K,OH,0.6,20.0,417.0
27,4,9,1.88,1.18,0,0,4,0,3.3,2.0,K,OH,0.6,1.0,180.0
27,4,9,1.88,1.18,0,0,4,0,3.3,2.0,K,OH,0.6,2.0,167.0
27,4,9,1.88,1.18,0,0,4,0,3.3,2.0,K,OH,0.6,5.0,143.0
27,4,9,1.88,1.18,0,0,4,0,3.3,2.0,K,OH,0.6,10.0,115.0
27,4,9,1.88,1.18,0,0,4,0,3.3,2.0,K,OH,0.6,20.0,78.0
27,4,9,1.88,1.18,0,0,3,0,29.3,2.0,K,OH,0.65,0.5,654.0
27,4,9,1.88,1.18,0,0,3,0,29.3,2.0,K,OH,0.65,1.0,595.0
27,4,9,1.88,1.18,0,0,3,0,29.3,2.0,K,OH,0.65,5.0,499.0
27,4,9,1.88,1.18,0,0,3,0,36.3,6.0,K,OH,0.4,0.5,996.16
27,4,9,1.88,1.18,0,0,3,0,36.3,6.0,K,OH,0.4,1.0,986.95
27,4,9,1.88,1.18,0,0,3,0,36.3,6.0,K,OH,0.4,2.0,979.9
27,4,9,1.88,1.18,0,0,3,0,36.3,6.0,K,OH,0.4,3.0,972.75
27,4,9,1.88,1.18,0,0,3,0,36.3,6.0,K,OH,0.4,4.0,966.0
27,4,9,1.88,1.18,0,0,3,0,36.3,6.0,K,OH,0.4,5.0,957.5
27,4,9,1.88,1.18,0,0,3,0,13.1,6.0,K,OH,0.4,0.5,354.13
27,4,9,1.88,1.18,0,0,3,0,13.1,6.0,K,OH,0.4,1.0,342.5
27,4,9,1.88,1.18,0,0,3,0,13.1,6.0,K,OH,0.4,2.0,321.7
27,4,9,1.88,1.18,0,0,3,0,13.1,6.0,K,OH,0.4,3.0,307.7
27,4,9,1.88,1.18,0,0,3,0,13.1,6.0,K,OH,0.4,4.0,294.5
27,4,9,1.88,1.18,0,0,3,0,13.1,6.0,K,OH,0.4,5.0,289.5
27,4,9,1.88,1.18,0,0,5,0,113.9,2.0,K,OH,0.5,1.0,936.0
27,4,9,1.88,1.18,0,0,5,0,113.9,2.0,K,OH,0.5,2.0,883.2
27,4,9,1.88,1.18,0,0,5,0,113.9,2.0,K,OH,0.5,5.0,810.0
27,4,9,1.88,1.18,0,0,5,0,113.9,2.0,K,OH,0.5,10.0,746.0
27,4,9,1.88,1.18,0,0,5,0,113.9,2.0,K,OH,0.5,20.0,686.4
27,4,9,1.88,1.18,0,0,4,0,67.1,3.0,K,OH,0.45,1.0,426.6
27,4,9,1.88,1.18,0,0,4,0,67.1,3.0,K,OH,0.45,10.0,404.8
27,4,9,1.88,1.18,0,0,4,0,67.1,3.0,K,OH,0.45,20.0,382.7
28,4,10,1.91,1.17,0,0,4,0,201.4,3.0,K,OH,0.45,1.0,951.6
28,4,10,1.91,1.17,0,0,4,0,201.4,3.0,K,OH,0.45,2.0,809.0
28,4,10,1.91,1.17,0,0,4,0,201.4,3.0,K,OH,0.45,3.0,743.0
28,4,10,1.91,1.17,0,0,4,0,201.4,3.0,K,OH,0.45,5.0,669.0
28,4,10,1.91,1.17,0,0,4,0,201.4,3.0,K,OH,0.45,10.0,553.0
28,4,10,1.91,1.17,0,0,4,0,201.4,3.0,K,OH,0.45,20.0,442.0
42,5,6,2.16,1.46,0,0,2,0,58.2,2.0,K,OH,0.5,1.0,116.8
42,5,6,2.16,1.46,0,0,2,0,58.2,2.0,K,OH,0.5,2.0,102.0
42,5,6,2.16,1.46,0,0,2,0,58.2,2.0,K,OH,0.5,5.0,72.0
42,5,6,2.16,1.46,0,0,2,0,58.2,2.0,K,OH,0.5,10.0,44.0
27,4,9,1.88,1.18,0,0,3,0,51.2,2.0,K,OH,0.5,1.0,464.4
27,4,9,1.88,1.18,0,0,3,0,51.2,2.0,K,OH,0.5,2.0,437.0
27,4,9,1.88,1.18,0,0,3,0,51.2,2.0,K,OH,0.5,5.0,367.0
27,4,9,1.88,1.18,0,0,3,0,51.2,2.0,K,OH,0.5,10.0,297.0
27,4,9,1.88,1.18,3,3,3,4,253.8,6.0,K,OH,0.5,1.0,653.8
27,4,9,1.88,1.18,3,3,3,4,253.8,6.0,K,OH,0.5,2.0,616.4
27,4,9,1.88,1.18,3,3,3,4,253.8,6.0,K,OH,0.5,5.0,571.0
27,4,9,1.88,1.18,3,3,3,4,253.8,6.0,K,OH,0.5,7.0,560.2
27,4,9,1.88,1.18,3,3,3,4,253.8,6.0,K,OH,0.5,10.0,544.2
27,4,9,1.88,1.18,3,3,4,1,60.3,6.0,K,OH,0.45,1.0,574.0
27,4,9,1.88,1.18,3,3,4,1,60.3,6.0,K,OH,0.45,2.0,444.0
27,4,9,1.88,1.18,3,3,4,1,60.3,6.0,K,OH,0.45,3.0,358.0
27,4,9,1.88,1.18,3,3,4,1,60.3,6.0,K,OH,0.45,5.0,278.0
27,4,9,1.88,1.18,3,3,4,1,60.3,6.0,K,OH,0.45,10.0,188.0
27,4,9,1.88,1.18,3,3,4,1,60.3,6.0,K,OH,0.45,15.0,156.0
27,4,9,1.88,1.18,3,3,4,1,60.3,6.0,K,OH,0.45,20.0,133.0
27,4,9,1.88,1.18,1,3,1,1,15.7,2.0,K,OH,0.5,2.0,535.0
27,4,9,1.88,1.18,1,3,1,1,15.7,2.0,K,OH,0.5,3.0,496.0
27,4,9,1.88,1.18,1,3,1,1,15.7,2.0,K,OH,0.5,5.0,462.0
27,4,9,1.88,1.18,1,3,1,1,15.7,2.0,K,OH,0.5,10.0,324.0
27,4,9,1.88,1.18,1,1,4,4,109.3,6.0,K,OH,0.5,1.0,589.0
27,4,9,1.88,1.18,1,1,4,4,109.3,6.0,K,OH,0.5,3.0,552.0
27,4,9,1.88,1.18,1,1,4,4,109.3,6.0,K,OH,0.5,5.0,530.0
27,4,9,1.88,1.18,1,1,4,4,109.3,6.0,K,OH,0.5,7.0,507.0
27,4,9,1.88,1.18,1,1,4,4,109.3,6.0,K,OH,0.5,10.0,479.0
27,4,9,1.88,1.18,1,1,4,4,128.4,6.0,K,OH,0.5,1.0,822.0
27,4,9,1.88,1.18,1,1,4,4,128.4,6.0,K,OH,0.5,3.0,753.0
27,4,9,1.88,1.18,1,1,4,4,128.4,6.0,K,OH,0.5,5.0,713.0
27,4,9,1.88,1.18,1,1,4,4,128.4,6.0,K,OH,0.5,7.0,682.0
27,4,9,1.88,1.18,1,1,4,4,128.4,6.0,K,OH,0.5,10.0,630.0
27,4,9,1.88,1.18,1,1,4,4,100.2,6.0,K,OH,0.5,1.0,448.0
27,4,9,1.88,1.18,1,1,4,4,100.2,6.0,K,OH,0.5,3.0,427.0
27,4,9,1.88,1.18,1,1,4,4,100.2,6.0,K,OH,0.5,5.0,406.0
27,4,9,1.88,1.18,1,1,4,4,100.2,6.0,K,OH,0.5,7.0,385.0
27,4,9,1.88,1.18,1,1,4,4,100.2,6.0,K,OH,0.5,10.0,348.0
27,4,9,1.88,1.18,3,4,4,1,98.1,2.0,K,OH,0.45,1.0,1246.0
27,4,9,1.88,1.18,3,4,4,1,98.1,2.0,K,OH,0.45,2.0,1178.0
27,4,9,1.88,1.18,3,4,4,1,98.1,2.0,K,OH,0.45,4.0,1088.0
